status,oscCode
pdf_only,FLSB-1D-1FF-1ROT
pdf_only,FLSB-1D-1FF-2ROT
pdf_only,FLSB-2D-1FF
pdf_only,FLSB-2D-1FF-1ROT
pdf_only,FLSB-2D-1FF-2ROT
pdf_only,FLSBFH-1D
pdf_only,FLSBFH-1D-1ROT
pdf_only,FLSBFH-1D-2ROT
pdf_only,FLSBFH-2D
pdf_only,FLSBFH-2D-1ROT
pdf_only,FLSBFH-2D-2ROT
pdf_only,LS3612L
pdf_only,LS3612R
pdf_only,SB-1D-1FF
pdf_only,SB-1D-1FF-1ROT
pdf_only,SB-1D-1FF-2ROT
pdf_only,SB-2D-1FF
pdf_only,SB-2D-1FF-1ROT
pdf_only,SB-2D-1FF-2ROT
pdf_only,SB-2D-2FF
pdf_only,SB-2D-2FF-1ROT
pdf_only,SB-2D-2FF-2ROT
pdf_only,SBFH-1D
pdf_only,SBFH-1D-1ROT
pdf_only,SBFH-1D-2ROT
pdf_only,SBFH-2D
pdf_only,SBFH-2D-1ROT
pdf_only,SBFH-2D-2ROT
pdf_only,SBIANCATO
